-,-,-,-,-,-,-,-,-,-,-,-





'a'













0.24,0.95,-0.03,1.34,1.04,-0.67,0.98,1.82,10,617,7,22
0.24,0.95,-0.03,1.53,1.22,-0.61,0.98,2.05,10,617,7,20
0.24,0.95,-0.03,1.53,1.16,-0.61,0.98,2.01,10,616,8,22
0.24,0.95,-0.03,1.34,1.10,-0.67,0.98,1.86,10,616,11,23
0.24,0.95,-0.03,1.53,1.34,-0.61,0.98,2.12,9,616,8,19
0.24,0.95,-0.03,1.16,1.22,-0.67,0.98,1.81,9,617,7,21
0.24,0.95,-0.03,1.28,1.34,-0.67,0.98,1.97,9,615,8,23
0.24,0.95,-0.03,1.46,1.16,-0.55,0.98,1.95,10,619,9,21
0.24,0.95,-0.03,1.40,1.16,-0.61,0.98,1.92,9,619,7,22
0.24,0.95,-0.03,0.98,1.10,-0.61,0.98,1.59,9,617,8,22
0.24,0.95,-0.04,1.28,1.22,-0.61,0.98,1.87,9,618,7,23
0.24,0.95,-0.03,1.40,1.16,-0.67,0.98,1.94,9,619,6,23
0.24,0.95,-0.03,1.46,1.22,-0.61,0.98,2.00,9,619,7,23
0.24,0.95,-0.03,1.16,1.34,-0.79,0.98,1.94,9,618,7,21
0.24,0.95,-0.03,1.28,1.16,-0.73,0.98,1.88,9,621,7,22
0.24,0.95,-0.04,1.40,1.22,-0.43,0.98,1.91,9,619,7,22
0.24,0.95,-0.03,1.28,1.16,-0.49,0.98,1.80,9,620,7,20
0.24,0.95,-0.03,1.16,1.34,-0.67,0.98,1.90,9,621,7,22
0.24,0.95,-0.04,0.85,1.34,-0.79,0.98,1.78,8,622,9,22
0.24,0.95,-0.04,1.28,1.40,-0.55,0.98,1.98,8,623,7,22
0.24,0.95,-0.04,1.40,1.22,-0.61,0.98,1.96,8,623,6,21
0.24,0.95,-0.03,1.40,1.28,-0.61,0.98,2.00,8,623,6,21
0.24,0.95,-0.04,1.28,1.34,-0.67,0.98,1.97,8,624,7,22
0.24,0.95,-0.04,1.59,1.16,-0.49,0.98,2.03,8,623,7,21
0.24,0.95,-0.03,1.65,1.10,-0.55,0.98,2.06,8,623,6,20
0.24,0.95,-0.04,1.71,1.40,-0.49,0.98,2.26,8,623,6,23
0.24,0.95,-0.04,1.46,1.16,-0.61,0.98,1.97,8,625,6,21
0.24,0.95,-0.03,1.40,1.04,-0.55,0.98,1.83,8,622,4,22
0.24,0.95,-0.03,1.40,1.10,-0.55,0.98,1.87,8,623,6,21
0.24,0.95,-0.03,1.16,1.22,-0.67,0.98,1.81,8,623,5,21
0.24,0.95,-0.04,1.28,1.16,-0.67,0.98,1.85,8,621,7,19
0.24,0.95,-0.03,1.28,1.16,-0.55,0.98,1.81,8,623,5,20
0.24,0.95,-0.03,1.65,1.10,-0.43,0.98,2.03,8,623,7,21
0.24,0.95,-0.03,1.46,1.10,-0.79,0.98,2.00,8,622,6,22
0.24,0.95,-0.03,1.46,1.04,-0.55,0.98,1.88,8,623,6,20
0.24,0.95,-0.03,1.40,1.10,-0.61,0.98,1.88,8,622,8,21
0.24,0.95,-0.03,1.28,1.16,-0.37,0.98,1.77,8,622,6,21
0.24,0.95,-0.03,1.46,1.10,-0.61,0.98,1.93,8,621,8,23
0.24,0.95,-0.03,1.40,1.28,-0.49,0.98,1.96,8,622,6,21
0.24,0.95,-0.03,1.10,1.22,-0.55,0.98,1.73,8,623,7,22
0.24,0.95,-0.04,1.04,1.10,-0.55,0.98,1.61,8,622,5,21
0.24,0.95,-0.03,1.46,1.10,-0.49,0.98,1.90,8,621,7,21
0.24,0.95,-0.03,1.22,1.04,-0.55,0.98,1.69,8,621,8,21
0.24,0.95,-0.04,1.16,1.10,-0.61,0.98,1.71,8,621,7,19
0.24,0.95,-0.04,0.85,1.04,-0.79,0.98,1.56,8,622,4,22
0.24,0.95,-0.03,1.28,0.98,-0.79,0.98,1.80,8,622,6,19
